Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
terrarium-small-globe,Terrarium Small Globe,"<p>Potted center piece,</p>
<p> </p>
<p> </p>
<p>Care: bright Indirect light is best </p>
<p>Water: 2 small cups of water dispersed around the base of the planter every 7 to 10 days, Spray the root system of the orchid every other day, </p>
<p> </p>
<p> </p>
<p> </p>",JUSTPLANTS,,,"gift, Low light, Medium Light Low, Pet friendly, potted plant",false,Material,With mushroom,,,,,"",0.0,shopify,deny,manual,60.00,,true,true,'98110390,,,,false,,,,,,,,,,,,,,,,,kg,,35.00,active
terrarium-small-globe,,,,,,,,,Without mushroom,,,,,"",0.0,shopify,deny,manual,40.00,,true,true,'98143158,,,,,,,,,,,,,,,,,,,,,kg,,35.00,
mounted-plants,Mounted plants,"<p>Mounted plants in Cedar planks </p>
<p> </p>",JUSTPLANTS,,,"",false,Material,Small You're perfect dischidia diamond,,,,,"",0.0,shopify,deny,manual,36.99,,true,true,'92323766,,,,false,,,,,,,,,,,,,,,,,kg,,,active
mounted-plants,,,,,,,,,Medium Birkin and hoya lacunosa in cedar plank,,,,,"",0.0,shopify,deny,manual,48.99,,true,true,'92356534,,,,,,,,,,,,,,,,,,,,,kg,,,
mounted-plants,,,,,,,,,Large Arrengement in Cedar plank,,,,,"",0.0,shopify,deny,manual,79.99,,true,true,'92389302,,,,,,,,,,,,,,,,,,,,,kg,,,
mounted-plants,,,,,,,,,Small Carnivorous plants (3),,,,,"",0.0,shopify,deny,manual,46.99,,true,true,'92422070,,,,,,,,,,,,,,,,,,,,,kg,,,
terrarium-big-globe,Terrarium Big Globe,"<p>Potted center piece,</p>
<p>Displaying a stunning Slipper orchid on a driftwood piece with some Plumosa fern plants at the base of the planter </p>
<p>Includes one crystal gems , driftwood and pebbles</p>
<p>Planter dimensions: 13.7 inches diameter  by 5 inches height. </p>
<p>Plants: slipper Orchid and Plumosa fern  </p>
<p>Care: bright Indirect light is best </p>
<p>Water: 2 small cups of water dispersed around the base of the planter every 7 to 10 days, Spray the root system of the orchid every other day, </p>
<p> </p>
<p> </p>
<p> </p>",JUSTPLANTS,,,"gift, Low light, Medium Light Low, Pet friendly, potted plant",false,Title,Default Title,,,,,"",0.0,shopify,deny,manual,145.00,,true,true,'96345782,,,,false,,,,,,,,,,,,,,,,,kg,,55.00,active
tear-drop-glass-terraium,Teardrop terrarium,"<p>Potted center piece,</p>
<p>Displaying a stunning Slipper orchid on a driftwood piece with some Plumosa fern plants at the base of the planter </p>
<p>Includes one crystal gems , driftwood and pebbles</p>
<p>Planter dimensions: 13.7 inches diameter  by 5 inches height. </p>
<p>Plants: slipper Orchid and Plumosa fern  </p>
<p>Care: bright Indirect light is best </p>
<p>Water: 2 small cups of water dispersed around the base of the planter every 7 to 10 days, Spray the root system of the orchid every other day, </p>
<p> </p>
<p> </p>
<p> </p>",JUSTPLANTS,,,"gift, Low light, Medium Light Low, Pet friendly, potted plant",false,Title,Default Title,,,,,"",0.0,shopify,deny,manual,79.99,,true,true,'87629494,,,,false,,,,,,,,,,,,,,,,,kg,,45.00,active
potted-areca-palm-in-bubble-planter,Potted Areca palm in Bubble planter,"<p>Add color and texture with this amazing Ric rac cactus center piece,  potted in a ultra modern Cement planter and topped with charcoal pebbles.</p>
<p>About the Plant </p>
<p>Ric rac cactus prefer well illuminated areas, such a North, east or West facing windows,. </p>
<p>Water: 1 small cup of water once every 10 days </p>
<p>You can mist daily or as often as you can </p>
<p>Planter Dimentions:</p>
<p>8 inches diameter by 4 inches height. </p>",JUSTPLANTS,,,"gift, medium Light, Medium Light High, Medium Light Low, pet friendly, potted plant",false,Title,Default Title,,,,,"",0.0,shopify,deny,manual,64.99,,true,true,'06332086,,,,false,,,,,,,,,,,,,,,,,kg,,35.00,active
hoya-wayetii,Hoya Wayetii,"<p data-mce-fragment=""1"">Hoyas are excellent Flowering houseplants </p>
<p data-mce-fragment=""1"">Care<br data-mce-fragment=""1"">Light: Bright light with some direct sunlight, a North or East facing windows are ideal.</p>
<p data-mce-fragment=""1""><br data-mce-fragment=""1"">Water: weekly, allowing the first 2 inches of soil to dry in between waterings </p>
<p data-mce-fragment=""1""><br data-mce-fragment=""1"">Toxicity: Non-toxic to pets<br data-mce-fragment=""1"">Size: comes in a 4 inches nursery pot</p>",Just Plants BC,,,"Medium Light High, Medium Light Low, Pet friendly, rare plants",false,Title,Default Title,,,,,"",2000.0,shopify,deny,manual,15.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,,7.50,active
